track_id,team,frames_seen,time_on_screen_s,total_distance_m,avg_speed_kmh,max_speed_kmh
4,Man Utd,1212,48.48,933.68,28.42,40.0
2,Man City,632,25.28,831.96,25.45,40.0
1,Man City,569,22.76,558.56,27.12,40.0
309,Man Utd,927,37.08,507.92,29.52,40.0
62,Man Utd,774,30.96,467.15,29.19,40.0
18,Man Utd,355,14.2,447.9,24.68,40.0
293,Man City,904,36.16,442.75,28.93,40.0
127,Other,813,32.52,433.72,29.31,40.0
5,Other,540,21.6,425.1,24.52,40.0
124,Man Utd,699,27.96,381.19,27.62,40.0
3,Other,495,19.8,372.9,23.7,40.0
8,Man City,389,15.56,357.86,26.9,40.0
20,Man Utd,217,8.68,357.55,25.48,40.0
17,Man Utd,260,10.4,355.93,33.15,40.0
87,Man Utd,442,17.68,344.02,34.94,40.0
128,Man Utd,637,25.48,338.48,28.35,40.0
130,Man Utd,663,26.52,336.95,28.63,40.0
296,Man City,552,22.08,331.44,27.89,40.0
147,Man Utd,718,28.72,324.62,24.72,40.0
140,Man City,751,30.04,315.78,24.21,40.0
16,Man Utd,254,10.16,312.08,32.68,40.0
21,Man Utd,312,12.48,312.06,28.47,40.0
11,Man Utd,476,19.04,302.57,21.4,40.0
368,Man City,458,18.32,297.87,32.16,40.0
297,Man Utd,569,22.76,295.4,28.1,40.0
68,Man City,487,19.48,275.36,28.5,40.0
24,Man Utd,139,5.56,274.19,31.93,40.0
358,Man City,348,13.92,267.69,32.06,40.0
31,Other,153,6.12,254.6,20.69,40.0
137,Man City,605,24.2,246.19,24.1,40.0
6,Man Utd,291,11.64,245.39,23.84,40.0
10,Man City,322,12.88,245.39,28.11,40.0
56,Man City,372,14.88,243.82,29.46,40.0
14,Man Utd,250,10.0,236.02,27.85,40.0
173,Man City,474,18.96,234.19,29.34,40.0
42,Man City,382,15.28,231.85,29.23,40.0
333,Man Utd,400,16.0,228.68,28.91,40.0
9,Man Utd,250,10.0,207.75,17.55,40.0
294,Man Utd,534,21.36,207.68,23.38,40.0
170,Man Utd,464,18.56,205.23,26.31,40.0
361,Other,325,13.0,202.96,29.04,40.0
138,Man Utd,478,19.12,200.96,21.62,40.0
